100	 0.00
100	 0.00
100	 0.00
100	 0.00
100	 0.00
100	 0.00
1000	 0.00
1000	 0.00
1000	 0.00
1000	 0.00
1000	 0.00
1000	 0.00
10000	 0.00
10000	 0.00
10000	 0.00
10000	 0.00
10000	 0.00
10000	 0.00
100000	 0.00
100000	 0.00
100000	 0.00
100000	 0.00
100000	 0.00
100000	 0.00
1000000	 0.00
1000000	 0.00
1000000	 0.01
1000000	 0.01
1000000	 0.00
1000000	 0.00
10000000	 0.08
10000000	 0.07
10000000	 0.07
10000000	 0.07
10000000	 0.07
10000000	 0.07
100000000	 0.78
100000000	 0.78
100000000	 0.79
100000000	 0.78
100000000	 0.78
100000000	 0.78
